Customer ID,ChurnScore,IsChurned
18286,1.0,1
18285,1.0,1
18284,1.0,1
18268,1.0,1
18267,1.0,1
18266,1.0,1
18264,1.0,1
18258,1.0,1
18256,1.0,1
18254,1.0,1
18253,1.0,1
12377,1.0,1
12376,1.0,1
12373,1.0,1
12369,1.0,1
12368,1.0,1
12366,1.0,1
12365,1.0,1
18250,1.0,1
18248,1.0,1
18247,1.0,1
18244,1.0,1
18243,1.0,1
18239,1.0,1
18238,1.0,1
12396,1.0,1
12392,1.0,1
12389,1.0,1
12387,1.0,1
12386,1.0,1
12385,1.0,1
12383,1.0,1
18234,1.0,1
18233,1.0,1
18231,1.0,1
18227,1.0,1
18224,1.0,1
12411,1.0,1
12410,1.0,1
12404,1.0,1
12402,1.0,1
12401,1.0,1
12400,1.0,1
12399,1.0,1
18220,1.0,1
18218,1.0,1
18214,1.0,1
18213,1.0,1
18212,1.0,1
18208,1.0,1
18207,1.0,1
18206,1.0,1
12424,1.0,1
12419,1.0,1
12416,1.0,1
12414,1.0,1
18202,1.0,1
18201,1.0,1
18200,1.0,1
18199,1.0,1
18197,1.0,1
18195,1.0,1
18193,1.0,1
18191,1.0,1
18187,1.0,1
18186,1.0,1
18185,1.0,1
18183,1.0,1
18182,1.0,1
18176,1.0,1
18175,1.0,1
12443,1.0,1
12441,1.0,1
12439,1.0,1
18166,1.0,1
18163,1.0,1
18162,1.0,1
18159,1.0,1
18157,1.0,1
18153,1.0,1
18152,1.0,1
18148,1.0,1
18146,1.0,1
18143,1.0,1
18141,1.0,1
12460,1.0,1
12459,1.0,1
12453,1.0,1
12450,1.0,1
12447,1.0,1
18140,1.0,1
18138,1.0,1
18137,1.0,1
18134,1.0,1
18133,1.0,1
18132,1.0,1
18131,1.0,1
18129,1.0,1
18128,1.0,1
18124,1.0,1
18120,1.0,1
18119,1.0,1
18115,1.0,1
18114,1.0,1
18113,1.0,1
18111,1.0,1
12470,1.0,1
12469,1.0,1
12468,1.0,1
12467,1.0,1
12466,1.0,1
18108,1.0,1
18107,1.0,1
18106,1.0,1
18103,1.0,1
18100,1.0,1
18099,1.0,1
18098,1.0,1
18095,1.0,1
12493,1.0,1
12489,1.0,1
12487,1.0,1
12486,1.0,1
12485,1.0,1
18091,1.0,1
18090,1.0,1
18089,1.0,1
18086,1.0,1
18085,1.0,1
18083,1.0,1
18078,1.0,1
18076,1.0,1
18074,1.0,1
18071,1.0,1
18070,1.0,1
18068,1.0,1
18064,1.0,1
18063,1.0,1
18062,1.0,1
12509,1.0,1
12507,1.0,1
12506,1.0,1
12505,1.0,1
12503,1.0,1
12501,1.0,1
12499,1.0,1
12495,1.0,1
18060,1.0,1
18056,1.0,1
18054,1.0,1
18051,1.0,1
18050,1.0,1
18049,1.0,1
18048,1.0,1
18047,1.0,1
18046,1.0,1
12525,1.0,1
12521,1.0,1
12515,1.0,1
12514,1.0,1
18039,1.0,1
18038,1.0,1
18032,1.0,1
18031,1.0,1
18029,1.0,1
12537,1.0,1
12535,1.0,1
12534,1.0,1
12533,1.0,1
12529,1.0,1
18028,1.0,1
18027,1.0,1
18026,1.0,1
18025,1.0,1
18021,1.0,1
18020,1.0,1
18012,1.0,1
18011,1.0,1
18010,1.0,1
18009,1.0,1
18007,1.0,1
18004,1.0,1
18003,1.0,1
18002,1.0,1
18000,1.0,1
17998,1.0,1
17996,1.0,1
12555,1.0,1
12554,1.0,1
12551,1.0,1
12549,1.0,1
12547,1.0,1
12543,1.0,1
12542,1.0,1
17995,1.0,1
17993,1.0,1
17992,1.0,1
17991,1.0,1
17990,1.0,1
17989,1.0,1
17983,1.0,1
17982,1.0,1
17981,1.0,1
17980,1.0,1
12573,1.0,1
12570,1.0,1
12568,1.0,1
12565,1.0,1
12564,1.0,1
12563,1.0,1
12561,1.0,1
12559,1.0,1
12582,1.0,1
12580,1.0,1
12575,1.0,1
12574,1.0,1
17976,1.0,1
17972,1.0,1
17971,1.0,1
17970,1.0,1
17969,1.0,1
17967,1.0,1
17963,1.0,1
17959,1.0,1
17956,1.0,1
17955,1.0,1
17953,1.0,1
17952,1.0,1
17948,1.0,1
12605,1.0,1
12595,1.0,1
12593,1.0,1
12591,1.0,1
12590,1.0,1
17946,1.0,1
17945,1.0,1
17944,1.0,1
17939,1.0,1
